TimeStamp,Course Name,Module,Problem,Duration,Content Type,Url,eventtype,eventdata
13/07/2015 11:31:16,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:31:29,,,,,,https://www.workingon.co/work,Mouse,"MOUSE3: Mouse clicked! (235, 265) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (215, 269) TEXTAREA [Tag Name :TEXTAREA]"
13/07/2015 11:31:30,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:31:47,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ff842b9a8a8,Tab,Tab Switched
13/07/2015 11:31:48,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:31:50,,,,,,https://www.workingon.co/activity,Tab,New Tab
13/07/2015 11:32:12,,,,,,https://www.workingon.co/activity,Tab,Tab Switched
13/07/2015 11:32:37,,,,,,https://www.workingon.co/activity,Mouse,"MOUSE3: Mouse clicked! (473, 807) SPAN [Tag Name :SPAN] undefined MOUSE3: Mouse clicked! (400, 650) SPAN [Tag Name :SPAN] undefined MOUSE3: Mouse clicked! (672, 643) STRONG [Tag Name :STRONG] undefined MOUSE3: Mouse clicked! (345, 93) A [Tag Name :A] undefined"
13/07/2015 11:32:39,,,,,,https://www.workingon.co/tools,Tab,New Tab
13/07/2015 11:32:52,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:33:03,,,,,,https://www.workingon.co/activity,Tab,New Tab
13/07/2015 11:33:08,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:33:14,,,,,,https://www.workingon.co/activity,Tab,Tab Switched
13/07/2015 11:33:17,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:33:18,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:33:29,,,,,,https://www.workingon.co/work,Tab,Tab Switched
13/07/2015 11:33:30,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:33:37,,,,,,https://www.workingon.co/work,Tab,Tab Switched
13/07/2015 11:33:43,,,,,,https://www.workingon.co/you,Tab,New Tab
13/07/2015 11:33:54,,,,,,https://www.workingon.co/manage,Tab,New Tab
13/07/2015 11:33:58,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:34:00,,,,,,https://www.workingon.co/manage,Tab,Tab Switched
