course name,module,video duration,content type,url
Java,Move to the First Yellow-Blue Lego,0:49,quiz_video,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177109724/m-176976495
Java,Move to the First Yellow-Blue Lego,0:00,quiz,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177109724/m-177134684
Java,Move to the First Yellow-Blue Lego,2:03,quiz_answer,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177109724/m-176976496
Java,Why Is This Not a Correct Algorithm?,0:29,quiz_video,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177109725/m-176976497
Java,Why Is This Not a Correct Algorithm?,0:00,radio,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177109725/m-176175795
Java,Why Is This Not a Correct Algorithm?,0:43,quiz_answer,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177109725/m-176976498
Java,What Does This Algorithm Do?,0:24,quiz_video,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177179588/m-176976499
Java,What Does This Algorithm Do?,0:00,radio,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177179588/m-177034270
Java,What Does This Algorithm Do?,0:52,quiz_answer,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-177179588/m-176976500
Java,Kylie's Advice for You,0:48,video,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-179427101
Java,Congratulations,0:26,video,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422830
Java,Question 1 - First Contributor to BlueJ,0:00,problem_set,https://www.udacity.com/course/viewer#!/c-cs046/l-211641002/e-213546108/m-213546109
Java,Question 2 - Secret Code,0:00,problem_set,https://www.udacity.com/course/viewer#!/c-cs046/l-211641002/e-213546110/m-213308035
Java,Question 3 - What Is the Output?,0:00,problem_set,https://www.udacity.com/course/viewer#!/c-cs046/l-211641002/e-211265356/m-211265357
Java,Question 4 - Hours per Week on Class,0:00,problem_set,https://www.udacity.com/course/viewer#!/c-cs046/l-211641002/e-211265358/m-211265359
Java,This Isn't a Real Lesson,0:00,problem_set,https://www.udacity.com/course/viewer#!/c-cs046/l-208887248/m-218771108
Java,Exercise 0,0:00,problem_set,https://www.udacity.com/course/viewer#!/c-cs046/l-208887248/e-213343457/m-213343458
