TimeStamp,Course Name,Module,Problem,Duration,Content Type,Url,eventtype ,eventdata 
14/07/2015 00:19:22 ,,,,,,https://www.google.co.in/,Tab ,New Tab 
14/07/2015 00:19:22 ,,,,,,,Window ,Window maximized 
14/07/2015 00:19:22 ,,,,,,https://www.google.co.in/,Tab ,Tab Switched 
14/07/2015 00:19:22 ,,,,,,,Window ,Window Created 
14/07/2015 00:19:25 ,,,,,,https://www.google.co.in/,Mouse ,MOUSE3: Mouse clicked! (772  111) A [Tag Name :A] undefined 
14/07/2015 00:19:26 ,,,,,,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/?tab%3Dwm&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#identifier,Tab ,New Tab 
14/07/2015 00:19:34 ,,,,,,https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/?tab%3Dwm&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1#password,Tab ,New Tab 
14/07/2015 00:19:39 ,,,,,,https://accounts.google.com/ServiceLoginAuth,Tab ,New Tab 
14/07/2015 00:19:42 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm,Tab ,New Tab 
14/07/2015 00:19:44 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,New Tab 
14/07/2015 00:19:52 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e88aabcce7f42d,Tab ,New Tab 
14/07/2015 00:19:59 ,,,,,,,Window ,Window -Possible Minimize 
14/07/2015 00:20:20 ,,,,,,http://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=43297&s=224&guid=0000014e872a341d9f0f7e9701ca990a&src=GD_JOB_AD&t=JA&extid=1370&exst=OL&ist=&ast=OL&vt=e&ja=17135918&uido=143CC128203908E4013A5980878A7C9D&slr=false&cb=1436786767538&jobListingId=1507503229&utm_medium=email&utm_source=jobalert&utm_campaign=jobAlertAlert&utm_content=ja-jobtitle&encryptedUserId=143CC128203908E4013A5980878A7C9D,Tab ,Tab Switched 
14/07/2015 00:20:21 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e88aabcce7f42d,Tab ,Tab Switched 
14/07/2015 00:20:23 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,New Tab 
14/07/2015 00:20:35 ,,,,,,http://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=43297&s=224&guid=0000014e872a341d9f0f7e9701ca990a&src=GD_JOB_AD&t=JA&extid=1370&exst=OL&ist=&ast=OL&vt=e&ja=17135918&uido=143CC128203908E4013A5980878A7C9D&slr=false&cb=1436786767538&jobListingId=1507503229&utm_medium=email&utm_source=jobalert&utm_campaign=jobAlertAlert&utm_content=ja-jobtitle&encryptedUserId=143CC128203908E4013A5980878A7C9D,Tab ,Tab Switched 
14/07/2015 00:20:36 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,Tab Switched 
14/07/2015 00:20:45 ,,,,,,,Window ,Window Created 
14/07/2015 00:20:45 ,,,,,,,Window ,Window normal 
14/07/2015 00:20:45 ,,,,,,https://plus.google.com/hangouts/_/CONVERSATION/Ugw8Eb1M-eL-hg5ll194AaABAQ?hl=en&hscid=1436813445076616911&hpe=124nrbu93dh2be&hpn=Veda%20Vyas&hisdn=Veda&hnc=0&hs=38,Tab ,Tab Switched 
14/07/2015 00:20:47 ,,,,,,https://plus.google.com/hangouts/_/gzxwbwtqjzaewmztuezeyihq5ma?hl=en,Tab ,New Tab 
14/07/2015 00:20:49 ,,,,,,,Window ,Window -Possible Minimize 
14/07/2015 00:20:53 ,,,,,,https://plus.google.com/hangouts/_/gzxwbwtqjzaewmztuezeyihq5ma?hl=en,Tab ,Tab Closed 
14/07/2015 00:20:53 ,,,,,,,Window ,Window maximized 
14/07/2015 00:20:53 ,,,,,,,Window ,Window Closed 
14/07/2015 00:20:56 ,,,,,,,Window ,Window -Possible Minimize 
14/07/2015 00:20:56 ,,,,,,http://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=43297&s=224&guid=0000014e872a341d9f0f7e9701ca990a&src=GD_JOB_AD&t=JA&extid=1370&exst=OL&ist=&ast=OL&vt=e&ja=17135918&uido=143CC128203908E4013A5980878A7C9D&slr=false&cb=1436786767538&jobListingId=1507503229&utm_medium=email&utm_source=jobalert&utm_campaign=jobAlertAlert&utm_content=ja-jobtitle&encryptedUserId=143CC128203908E4013A5980878A7C9D,Tab ,Tab Switched 
14/07/2015 00:21:02 ,,,,,,http://www.glassdoor.co.in/job-listing/web-developer-JV_IC2865319_KO0 13_IE693691.htm?jl=1507503229&utm_source=jobalert&utm_medium=email&utm_content=ja-jobtitle&utm_campaign=jobAlertAlert,Tab ,New Tab 
14/07/2015 00:21:03 ,,,,,,http://www.glassdoor.co.in/job-listing/web-developer-JV_IC2865319_KO0 13_IE693691.htm?jl=1507503229&utm_source=jobalert&utm_medium=email&utm_content=ja-jobtitle&utm_campaign=jobAlertAlert,Tab ,New Tab 
14/07/2015 00:21:07 ,,,,,,http://www.glassdoor.co.in/job-listing/web-developer-JV_IC2865319_KO0 13_IE693691.htm?jl=1507503229&utm_source=jobalert&utm_medium=email&utm_content=ja-jobtitle&utm_campaign=jobAlertAlert,Tab ,New Tab 
14/07/2015 00:21:08 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,Tab Switched 
14/07/2015 00:21:08 ,,,,,,http://www.glassdoor.co.in/job-listing/web-developer-JV_IC2865319_KO0 13_IE693691.htm?jl=1507503229&utm_source=jobalert&utm_medium=email&utm_content=ja-jobtitle&utm_campaign=jobAlertAlert,Tab ,Tab Closed 
14/07/2015 00:21:10 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,Tab Closed 
14/07/2015 00:21:10 ,,,,,,,Window ,Window Closed 
14/07/2015 10:15:22 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,Tab Switched 
14/07/2015 10:15:25 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ad9e06589d76,Tab ,New Tab 
14/07/2015 10:15:58 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ad9e06589d76,Mouse ,MOUSE3: Mouse clicked! (477  245) TD [Tag Name :TD] undefined 
14/07/2015 10:15:58 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,New Tab 
,,,,,,,,MOUSE3: Mouse clicked! (220
14/07/2015 10:16:11 ,,,,,,,Tab ,Tab Closed [TabID:107] 
14/07/2015 10:16:12 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,Tab Switched 
14/07/2015 10:16:43 ,,,,,,,Tab ,Tab Switched 
,,,,,,,,MOUSE3: Mouse clicked! (919
14/07/2015 10:16:48 ,,,,,,https://inbox.google.com/u/0/?pli=1,Tab ,New Tab 
14/07/2015 10:19:10 ,,,,,,https://www.udacity.com/course/viewer?utm_campaign=welcome_cs101&utm_source=sendgrid&utm_medium=email#!/c-cs101/l-299053470/e-298929650/m-298929651,Tab ,New Tab 
14/07/2015 10:19:12 ,,,,,,https://www.udacity.com/course/viewer?utm_campaign=welcome_cs101&utm_source=sendgrid&utm_medium=email#!/c-cs101/l-299053470/e-298929650/m-298929651,Mouse ,MOUSE3: Mouse clicked! (59  383) SPAN [Tag Name :SPAN] undefined 
14/07/2015 10:19:14 ,,,,,,https://www.udacity.com/course/viewer#!/c-cs101,Tab ,New Tab 
14/07/2015 10:19:15 ,,,,,,https://www.udacity.com/course/viewer#!/c-cs101/l-48299949,Tab ,New Tab 
14/07/2015 10:19:20 ,,,,,,https://www.udacity.com/course/viewer#!/c-cs101/l-48299949/m-48698544,Tab ,New Tab 
,,,,,,,,MOUSE3: Mouse clicked! (323
14/07/2015 10:19:52 ,,,,,,https://www.udacity.com/course/viewer#!/c-cs101/l-48299949/m-48698544,Selected ,> Introduction
14/07/2015 10:19:52 ,,,,,,https://www.udacity.com/course/viewer#!/c-cs101/l-48299949,Tab ,New Tab 
14/07/2015 10:19:52 ,,,,,,https://www.udacity.com/course/viewer#!/c-cs101,Tab ,New Tab 
14/07/2015 10:19:55 ,,,,,,https://inbox.google.com/u/0/?pli=1,Tab ,Tab Switched 
14/07/2015 10:19:55 ,,,,,,https://www.udacity.com/course/viewer?utm_campaign=welcome_cs101&utm_source=sendgrid&utm_medium=email#!/c-cs101/l-299053470/e-298929650/m-298929651,Tab ,New Tab 
14/07/2015 10:20:57 ,,,,,,https://inbox.google.com/u/0/?pli=1,Screen ,idle 
14/07/2015 10:22:03 ,,,,,,https://www.udacity.com/course/viewer?utm_campaign=welcome_cs101&utm_source=sendgrid&utm_medium=email#!/c-cs101/l-299053470/e-298929650/m-298929651,Tab ,Tab Switched 
14/07/2015 10:22:03 ,,,,,,https://inbox.google.com/u/0/?pli=1,Screen ,active 
,,,,,,,,MOUSE3: Mouse clicked! (641
14/07/2015 10:22:10 ,,,,,,https://www.udacity.com/account/auth#!/signin,Tab ,New Tab 
14/07/2015 10:22:22 ,,,,,,https://inbox.google.com/u/0/?pli=1,Tab ,Tab Switched 
,,,,,,,,MOUSE3: Mouse clicked! (0
14/07/2015 10:22:23 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox,Tab ,Tab Switched 
14/07/2015 10:22:24 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4,Tab ,New Tab 
,,,,,,,,MOUSE3: Mouse clicked! (317
14/07/2015 10:22:27 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Tab ,New Tab 
,,,,,,,,MOUSE3: Mouse clicked! (322
14/07/2015 10:22:33 ,,,,,,https://www.python.org/downloads/,Tab ,Tab Switched 
,,,,,,,,MOUSE3: Mouse clicked! (575
14/07/2015 10:22:36 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Tab ,Tab Switched 
14/07/2015 10:22:40 ,,,,,,https://www.python.org/downloads/,Tab ,New Tab 
14/07/2015 10:22:40 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Mouse ,MOUSE3: Mouse clicked! (0  0) BUTTON [Tag Name :BUTTON]
14/07/2015 10:22:40 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Mouse ,MOUSE2: [object HTMLInputElement]~ modTest: [text]
14/07/2015 10:22:44 ,,,,,,https://www.python.org/downloads/,Tab ,Tab Switched 
14/07/2015 10:22:50 ,,,,,,,Window ,Window maximized 
14/07/2015 10:23:09 ,,,,,,https://www.python.org/downloads/,Mouse ,MOUSE3: Mouse clicked! (296  400) A [Tag Name :A] undefined 
14/07/2015 10:23:09 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Tab ,Tab Switched 
14/07/2015 10:23:09 ,,,,,,,Window ,Window -Possible Minimize 
14/07/2015 10:23:15 ,,,,,,,Window ,Window maximized 
14/07/2015 10:23:39 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Screen ,locked 
14/07/2015 10:23:42 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Screen ,active 
14/07/2015 10:24:59 ,,,,,,https://pip.pypa.io/en/latest/installing.html,Tab ,Tab Switched 
,,,,,,,,MOUSE3: Mouse clicked! (374
14/07/2015 10:24:59 ,,,,,,,Window ,Window -Possible Minimize 
14/07/2015 10:25:02 ,,,,,,https://pip.pypa.io/en/latest/installing.html,Tab ,New Tab 
14/07/2015 10:25:02 ,,,,,,https://mail.google.com/mail/u/0/?tab=wm#inbox/14e8ae804b37f7e4?projector=1,Tab ,Tab Switched 
14/07/2015 10:25:02 ,,,,,,https://pip.pypa.io/en/latest/installing.html,Tab ,Tab Closed 
14/07/2015 10:26:08 ,,,,,,,Window ,Window maximized 
,,,,,,,,MOUSE3: Mouse clicked! (392
14/07/2015 10:26:11 ,,,,,,,Window ,Window -Possible Minimize 
14/07/2015 10:26:11 ,,,,,,http://docs.python-guide.org/en/latest/starting/install/win/,Tab ,Tab Switched 
14/07/2015 10:26:23 ,,,,,,http://docs.python-guide.org/en/latest/starting/install/win/,Tab ,New Tab 
14/07/2015 10:26:29 ,,,,,,https://bitbucket.org/pypa/setuptools/raw/bootstrap/ez_setup.py,Tab ,New Tab 
14/07/2015 10:26:31 ,,,,,,https://bitbucket.org/pypa/setuptools/raw/bootstrap/ez_setup.py,Tab ,New Tab 
14/07/2015 10:26:39 ,,,,,,http://docs.python-guide.org/en/latest/starting/install/win/,Tab ,New Tab 
14/07/2015 10:26:50 ,,,,,,,Window ,Window maximized 
14/07/2015 10:29:11 ,,,,,,,Window ,Window -Possible Minimize 
