TimeStamp,Course Name,Module,Problem,Duration,Content Type,Url,eventtype ,eventdata 
18/07/2015 14:50:57,,,,,,,Tab,Tab Closed [TabID:587]
18/07/2015 14:50:57,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Tab,Tab Switched
18/07/2015 14:51:13,,,,,,http://www.speedtest.net/,Tab,New Tab
18/07/2015 14:52:18,,,,,,,Tab,Tab Closed [TabID:589]
18/07/2015 14:52:18,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Tab,Tab Switched
18/07/2015 14:53:22,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Screen,idle
18/07/2015 14:54:24,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Screen,active
18/07/2015 14:55:25,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Screen,idle
18/07/2015 14:55:29,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Screen,active
18/07/2015 14:55:32,,,,,,,Window,Window maximized
18/07/2015 14:55:58,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Tab,New Tab
18/07/2015 14:55:58,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Mouse,"MOUSE3: Mouse clicked! (222, 189) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (222, 189) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (222, 189) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (222, 189) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (222, 189) A [Tag Name :A] undefined"
18/07/2015 14:56:50,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-179427100,Tab,New Tab
18/07/2015 14:56:50,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Mouse,"MOUSE3: Mouse clicked! (733, 683) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (733, 683) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (733, 683) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (733, 683) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (733, 683) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (733, 683) DIV [Tag Name :DIV] undefined"
18/07/2015 14:57:22,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-212508589,Tab,New Tab
18/07/2015 14:57:35,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-212508589,Screen,idle
18/07/2015 14:58:29,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-212508590,Tab,New Tab
18/07/2015 14:59:53,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Tab,New Tab
18/07/2015 15:00:19,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297218,Tab,New Tab
18/07/2015 15:00:21,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297218,Screen,active
18/07/2015 15:00:30,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297219,Tab,New Tab
18/07/2015 15:01:13,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489298/m-213489299,Tab,New Tab
18/07/2015 15:02:25,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489298/m-213489300,Tab,New Tab
18/07/2015 15:02:33,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489298/m-213489301,Tab,New Tab
18/07/2015 15:02:33,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489298/m-213489300,Selected,kolling kolling kolling kolling kolling kolling kolling kolling kolling kolling kolling kolling kolling kolling kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling Micheal kolling
18/07/2015 15:02:59,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489302/m-213489303,Tab,New Tab
18/07/2015 15:03:28,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489302/m-213489304,Tab,New Tab
18/07/2015 15:03:39,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-213489302/m-213489305,Tab,New Tab
